"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for 'green'","SUCCESS","2023-07-22T07:34:05.445558418Z[Etc/UTC]","0.0","5.45"
"Search by keyword","Searching for 'red'","SUCCESS","2023-07-22T07:34:05.454329669Z[Etc/UTC]","0.0","5.53"
