"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for 'red'","SUCCESS","2023-07-22T07:16:44.159268061Z[Etc/UTC]","0.0","14.33"
"Search by keyword","Searching for 'green'","SUCCESS","2023-07-22T07:16:44.17348499Z[Etc/UTC]","0.0","14.01"
